Date,Area Planted,Area Harvested,Yield,Beginning Stocks,Production,Imports,Total Supply,Feed and Residual,FSI,Ethanol,Total Domestic,Exports,Total Use,Ending Stocks,World BeginningStocks,World Production,World Imports,World DomesticFeed,World DomesticTotal,World Exports,World EndingStocks,United States BeginningStocks,United States Production,United States Imports,United States DomesticFeed,United States DomesticTotal,United States Exports,United States EndingStocks,Argentina BeginningStocks,Argentina Production,Argentina Imports,Argentina DomesticFeed,Argentina DomesticTotal,Argentina Exports,Argentina EndingStocks,Brazil BeginningStocks,Brazil Production,Brazil Imports,Brazil DomesticFeed,Brazil DomesticTotal,Brazil Exports,Brazil EndingStocks,China BeginningStocks,China Production,China Imports,China DomesticFeed,China DomesticTotal,China Exports,China EndingStocks,Japan BeginningStocks,Japan Production,Japan Imports,Japan DomesticFeed,Japan DomesticTotal,Japan Exports,Japan EndingStocks,Mexico BeginningStocks,Mexico Production,Mexico Imports,Mexico DomesticFeed,Mexico DomesticTotal,Mexico Exports,Mexico EndingStocks,South Korea BeginningStocks,South Korea Production,South Korea Imports,South Korea DomesticFeed,South Korea DomesticTotal,South Korea Exports,South Korea EndingStocks,South Africa BeginningStocks,South Africa Production,South Africa Imports,South Africa DomesticFeed,South Africa DomesticTotal,South Africa Exports,South Africa EndingStocks,Canada BeginningStocks,Canada Production,Canada Imports,Canada DomesticFeed,Canada DomesticTotal,Canada Exports,Canada EndingStocks,Ukraine BeginningStocks,Ukraine Production,Ukraine Imports,Ukraine DomesticFeed,Ukraine DomesticTotal,Ukraine Exports,Ukraine EndingStocks,Egypt BeginningStocks,Egypt Production,Egypt Imports,Egypt DomesticFeed,Egypt DomesticTotal,Egypt Exports,Egypt EndingStocks,Southeast Asia BeginningStocks,Southeast Asia Production,Southeast Asia Imports,Southeast Asia DomesticFeed,Southeast Asia DomesticTotal,Southeast Asia Exports,Southeast Asia EndingStocks,European Union BeginningStocks,European Union Production,European Union Imports,European Union DomesticFeed,European Union DomesticTotal,European Union Exports,European Union EndingStocks
2012/05/10,95.9,89.1,166.0,851.0,14790.0,15.0,15656.0,5450.0,6425.0,5000.0,11875.0,1900.0,13775.0,1881.0,127.56,945.78,98.82,549.54,921.01,104.22,152.34,21.62,375.68,0.38,138.44,301.64,48.26,47.78,1.18,25.0,0.01,5.8,8.6,16.0,1.59,13.08,67.0,0.8,47.5,56.0,12.0,12.88,57.97,193.0,7.0,137.0,200.0,0.2,57.77,0.63,0.0,16.0,11.5,16.0,0.0,0.63,1.36,21.0,9.3,13.5,29.7,0.03,1.93,1.46,0.08,8.5,6.5,8.6,0.0,1.44,2.77,13.0,0.03,5.1,11.1,2.0,2.69,1.68,12.6,0.5,7.4,12.6,0.5,1.68,1.21,24.0,0.05,7.5,9.3,14.0,1.96,0.97,5.8,5.2,9.0,11.0,0.01,0.96,3.65,25.6,6.55,24.6,32.7,0.23,2.87,5.56,63.1,6.0,51.5,67.5,2.0,5.16
2012/06/12,95.9,89.1,166.0,851.0,14790.0,15.0,15656.0,5450.0,6425.0,5000.0,11875.0,1900.0,13775.0,1881.0,129.19,949.93,100.32,553.31,923.39,105.32,155.74,21.62,375.68,0.38,138.44,301.64,48.26,47.78,1.14,25.0,0.01,5.8,8.6,16.0,1.55,14.08,67.0,0.8,47.5,56.0,12.0,13.88,59.0,195.0,7.0,139.0,201.0,0.2,59.8,0.63,0.0,16.0,11.5,16.0,0.0,0.63,1.36,21.0,9.3,13.5,29.7,0.03,1.93,1.46,0.08,8.5,6.5,8.6,0.0,1.44,2.77,13.0,0.03,5.1,11.1,2.0,2.69,1.68,12.6,0.5,7.4,12.6,0.5,1.68,1.21,24.0,0.05,7.5,9.3,14.0,1.96,0.97,5.8,5.2,9.0,11.0,0.01,0.96,3.6,25.6,7.05,24.6,32.7,0.23,3.32,5.36,64.15,7.0,53.5,69.5,2.0,5.01
2012/07/11,96.4,88.9,146.0,903.0,12970.0,30.0,13903.0,4800.0,6320.0,4900.0,11120.0,1600.0,12720.0,1183.0,129.37,905.23,95.75,535.95,900.51,98.3,134.09,22.94,329.45,0.76,121.93,282.46,40.64,30.05,1.14,25.0,0.01,5.8,8.6,16.0,1.55,13.08,67.0,0.8,47.5,56.0,12.0,12.88,59.1,195.0,5.0,139.0,201.0,0.2,57.9,0.63,0.0,15.5,11.0,15.5,0.0,0.63,1.36,21.0,9.0,13.5,29.7,0.03,1.63,1.46,0.08,8.0,6.0,8.1,0.0,1.44,2.74,13.0,0.03,5.1,11.1,2.0,2.67,1.68,13.0,0.5,7.6,12.8,0.8,1.58,1.21,24.0,0.05,7.5,9.3,14.0,1.96,0.97,5.8,5.2,9.0,11.0,0.01,0.96,3.6,25.6,7.05,24.6,32.7,0.23,3.32,5.26,65.47,5.0,53.5,69.5,2.0,4.23
2012/08/10,96.4,87.4,123.4,1021.0,10779.0,75.0,11875.0,4075.0,5850.0,4500.0,9925.0,1300.0,11225.0,650.0,135.97,849.01,88.52,508.74,861.64,92.78,123.33,25.94,273.79,1.91,103.51,252.11,33.02,16.5,1.44,28.0,0.01,6.0,8.8,18.5,2.15,15.88,70.0,0.8,47.5,56.0,14.0,16.68,59.1,200.0,2.0,139.0,201.0,0.2,59.9,0.63,0.0,15.0,10.5,15.0,0.0,0.63,1.01,21.5,8.5,13.5,29.7,0.03,1.28,1.46,0.08,7.5,5.5,7.6,0.0,1.44,2.74,13.5,0.03,5.1,11.1,2.5,2.67,1.38,12.75,0.5,7.0,12.5,1.0,1.13,1.21,21.0,0.05,7.0,8.5,12.5,1.26,1.27,5.8,5.2,9.2,11.2,0.01,1.06,3.3,25.6,6.05,23.8,31.8,0.23,2.92,6.13,61.54,3.0,50.0,65.5,1.0,4.17
2012/09/12,96.4,87.4,122.8,1181.0,10727.0,75.0,11983.0,4150.0,5850.0,4500.0,10000.0,1250.0,11250.0,733.0,139.6,841.06,88.62,505.84,856.7,91.01,123.95,30.0,272.49,1.91,105.42,254.01,31.75,18.63,1.44,28.0,0.01,6.0,8.8,18.5,2.15,15.31,70.0,0.8,47.5,56.0,15.0,15.11,59.4,200.0,2.0,139.0,201.0,0.2,60.2,0.63,0.0,15.0,10.5,15.0,0.0,0.63,0.91,21.5,8.5,13.5,29.7,0.03,1.19,1.46,0.08,7.5,5.5,7.6,0.0,1.44,2.74,13.5,0.03,5.1,11.1,2.5,2.67,1.33,11.7,0.5,6.0,11.5,1.0,1.03,1.21,21.0,0.05,7.0,8.5,12.5,1.26,1.77,5.8,5.5,10.0,12.0,0.01,1.06,3.24,25.6,6.05,23.8,31.8,0.23,2.86,6.13,57.14,3.0,46.0,61.5,0.5,4.27
2012/10/11,96.9,87.7,122.0,988.0,10706.0,75.0,11769.0,4150.0,5850.0,4500.0,10000.0,1150.0,11150.0,619.0,131.54,839.02,90.99,504.49,853.29,89.92,117.27,25.11,271.94,1.91,105.42,254.01,29.21,15.73,1.44,28.0,0.01,6.0,8.8,18.5,2.15,10.81,70.0,0.8,47.5,56.0,16.0,9.61,59.6,200.0,2.0,139.0,201.0,0.2,60.4,0.63,0.0,15.0,10.5,15.0,0.0,0.63,0.91,21.5,8.5,13.5,29.7,0.03,1.19,1.46,0.08,7.5,5.5,7.6,0.0,1.44,2.74,13.5,0.03,5.1,11.1,2.5,2.67,1.35,11.6,0.5,5.9,11.4,1.0,1.05,1.21,21.0,0.05,7.0,8.5,12.5,1.26,2.17,5.8,5.5,10.2,12.2,0.01,1.26,3.14,25.6,5.95,23.7,31.7,0.23,2.76,5.99,55.61,5.0,46.0,61.5,0.5,4.61
2012/11/09,96.9,87.7,122.3,988.0,10725.0,100.0,11814.0,4150.0,5867.0,4500.0,10017.0,1150.0,11167.0,647.0,132.08,839.7,93.75,507.54,853.79,90.3,117.99,25.11,272.43,2.54,105.42,254.44,29.21,16.42,1.44,28.0,0.01,6.0,8.8,18.5,2.15,10.58,70.0,0.8,47.0,55.0,16.0,10.38,59.34,200.0,2.0,139.0,201.0,0.2,60.14,0.62,0.0,15.0,10.5,15.0,0.0,0.62,1.49,20.7,9.0,13.5,29.7,0.1,1.39,1.48,0.08,8.0,6.0,8.1,0.0,1.46,2.94,13.5,0.03,5.1,11.1,2.5,2.87,1.35,11.6,0.5,5.9,11.4,1.0,1.05,1.21,21.0,0.05,7.0,8.5,12.5,1.26,2.17,5.8,5.5,10.2,12.2,0.01,1.26,2.55,26.15,6.0,24.5,32.5,0.23,1.97,6.8,54.65,6.5,47.5,63.0,0.5,4.45
2012/12/11,96.9,87.7,122.3,988.0,10725.0,100.0,11814.0,4150.0,5867.0,4500.0,10017.0,1150.0,11167.0,647.0,131.04,849.09,95.32,514.74,862.52,91.25,117.61,25.11,272.43,2.54,105.42,254.44,29.21,16.42,0.94,27.5,0.01,5.5,8.3,18.5,1.65,10.58,70.0,0.8,47.0,55.0,16.0,10.38,59.34,208.0,2.0,145.0,209.0,0.2,60.14,0.61,0.0,15.0,10.5,15.0,0.0,0.61,1.49,20.7,9.0,13.5,29.7,0.1,1.39,1.48,0.08,8.0,6.0,8.1,0.0,1.46,3.06,13.5,0.03,5.1,11.1,2.5,2.99,1.35,13.06,0.5,6.5,12.0,1.5,1.41,1.05,20.5,0.05,6.5,8.0,12.5,1.1,2.17,5.8,5.5,10.2,12.2,0.01,1.26,2.64,26.15,6.1,24.6,32.6,0.23,2.06,6.8,54.67,8.0,49.0,64.5,0.5,4.47
2013/01/11,97.2,87.4,123.4,989.0,10780.0,100.0,11869.0,4450.0,5867.0,4500.0,10317.0,950.0,11267.0,602.0,131.79,852.3,95.52,521.71,868.11,89.77,115.99,25.12,273.83,2.54,113.04,262.06,24.13,15.3,0.94,28.0,0.01,5.5,8.3,19.5,1.15,10.08,71.0,0.8,47.0,55.0,17.5,9.38,59.34,208.0,2.0,145.0,209.0,0.2,60.14,0.61,0.0,15.0,10.5,15.0,0.0,0.61,1.32,20.7,9.0,13.5,29.7,0.1,1.22,1.48,0.08,8.0,6.0,8.1,0.0,1.46,3.06,13.5,0.03,5.1,11.1,2.5,2.99,1.35,13.06,0.5,6.5,12.0,1.5,1.41,1.05,20.5,0.05,6.5,8.0,12.5,1.1,2.17,5.8,5.5,10.2,12.2,0.01,1.26,2.68,26.02,6.2,24.6,32.6,0.23,2.06,6.7,54.67,8.0,48.5,64.0,1.0,4.37
2013/02/08,97.2,87.4,123.4,989.0,10780.0,100.0,11869.0,4450.0,5887.0,4500.0,10337.0,900.0,11237.0,632.0,131.01,854.38,95.67,520.24,867.34,90.03,118.04,25.12,273.83,2.54,113.04,262.57,22.86,16.06,0.94,27.0,0.01,5.1,7.9,19.0,1.05,9.58,72.5,0.8,45.0,53.0,19.0,10.88,59.34,208.0,2.5,145.5,209.5,0.2,60.14,0.61,0.0,15.0,10.5,15.0,0.0,0.61,1.27,21.5,8.5,13.5,29.7,0.1,1.47,1.48,0.08,8.0,6.0,8.1,0.0,1.47,3.06,13.5,0.03,5.1,11.1,2.5,2.99,1.35,13.06,0.5,6.5,12.0,1.5,1.41,1.05,20.92,0.05,6.5,8.0,13.0,1.02,2.22,5.8,4.5,9.2,11.2,0.01,1.31,2.65,26.02,6.2,24.6,32.6,0.23,2.04,6.7,54.67,10.0,50.5,66.0,1.0,4.37
