Date,Area Planted,Area Harvested,Yield,Beginning Stocks,Production,Imports,Total Supply,Crushings,Exports,Seed,Residual,Total Use,Ending Stocks,World BeginningStocks,World Production,World Imports,World DomesticCrush,World DomesticTotal,World Exports,World EndingStocks,United States BeginningStocks,United States Production,United States Imports,United States DomesticCrush,United States DomesticTotal,United States Exports,United States EndingStocks,Argentina BeginningStocks,Argentina Production,Argentina Imports,Argentina DomesticCrush,Argentina DomesticTotal,Argentina Exports,Argentina EndingStocks,Brazil BeginningStocks,Brazil Production,Brazil Imports,Brazil DomesticCrush,Brazil DomesticTotal,Brazil Exports,Brazil EndingStocks,China BeginningStocks,China Production,China Imports,China DomesticCrush,China DomesticTotal,China Exports,China EndingStocks,Japan BeginningStocks,Japan Production,Japan Imports,Japan DomesticCrush,Japan DomesticTotal,Japan Exports,Japan EndingStocks,Mexico BeginningStocks,Mexico Production,Mexico Imports,Mexico DomesticCrush,Mexico DomesticTotal,Mexico Exports,Mexico EndingStocks,European Union BeginningStocks,European Union Production,European Union Imports,European Union DomesticCrush,European Union DomesticTotal,European Union Exports,European Union EndingStocks
2014/05/09,81.5,80.5,45.2,130.0,3635.0,15.0,3780.0,1715.0,1625.0,92.0,18.0,3450.0,330.0,66.98,299.82,108.33,248.45,280.58,112.33,82.23,3.53,98.93,0.41,46.68,49.67,44.23,8.98,28.05,54.0,0.0,39.8,41.9,9.0,31.16,18.51,91.0,0.15,37.1,40.1,45.0,24.56,13.7,12.0,72.0,72.5,83.9,0.3,13.5,0.17,0.21,2.8,1.95,3.01,0.0,0.17,0.12,0.29,3.74,3.97,4.0,0.0,0.15,0.44,1.25,12.5,12.58,13.51,0.07,0.61
2014/06/11,81.5,80.5,45.2,125.0,3635.0,15.0,3775.0,1715.0,1625.0,92.0,18.0,3450.0,325.0,67.17,299.99,108.68,248.45,280.63,112.33,82.88,3.4,98.93,0.41,46.68,49.67,44.23,8.84,28.55,54.0,0.0,39.8,41.9,9.0,31.66,17.91,91.0,0.5,37.1,40.1,45.0,24.31,13.7,12.0,72.0,72.5,83.9,0.3,13.5,0.17,0.21,2.8,1.95,3.01,0.0,0.17,0.12,0.29,3.74,3.97,4.0,0.0,0.15,0.59,1.43,12.5,12.58,13.56,0.07,0.88
2014/07/11,84.8,84.1,45.2,140.0,3800.0,15.0,3955.0,1755.0,1675.0,92.0,19.0,3541.0,415.0,67.24,304.79,109.87,250.91,283.31,113.29,85.31,3.82,103.42,0.41,47.76,50.78,45.59,11.28,28.55,54.0,0.0,39.8,41.9,8.5,32.16,17.66,91.0,0.5,37.1,40.1,45.0,24.06,13.29,12.0,73.0,73.5,84.9,0.3,13.09,0.18,0.21,2.8,1.95,3.01,0.0,0.17,0.12,0.29,3.74,3.97,4.0,0.0,0.15,0.64,1.43,12.5,12.63,13.61,0.07,0.88
2014/08/12,84.8,84.1,45.4,140.0,3816.0,15.0,3971.0,1755.0,1675.0,92.0,19.0,3541.0,430.0,67.09,304.69,110.55,250.9,283.4,113.32,85.62,3.82,103.85,0.41,47.76,50.78,45.59,11.71,28.63,54.0,0.0,39.8,41.9,8.5,32.23,17.11,91.0,0.5,37.1,40.1,45.0,23.51,13.29,12.0,73.0,73.5,84.9,0.3,13.09,0.18,0.21,2.8,1.95,3.01,0.0,0.17,0.17,0.29,3.9,4.1,4.14,0.0,0.22,0.64,1.47,12.5,12.66,13.64,0.07,0.9
2014/09/11,84.8,84.1,46.6,130.0,3913.0,15.0,4058.0,1770.0,1700.0,92.0,22.0,3583.0,475.0,66.91,311.13,112.5,252.08,284.98,115.4,90.17,3.55,106.5,0.41,48.17,51.26,46.27,12.93,28.63,55.0,0.0,39.8,41.9,8.5,33.23,17.23,94.0,0.6,37.6,40.75,46.7,24.38,13.24,12.0,74.0,73.5,84.95,0.3,13.99,0.22,0.21,2.9,1.97,3.07,0.0,0.26,0.17,0.29,3.95,4.2,4.24,0.0,0.17,0.64,1.47,12.75,12.66,13.69,0.07,1.1
2014/10/10,84.2,83.4,47.1,92.0,3927.0,15.0,4034.0,1770.0,1700.0,92.0,22.0,3583.0,450.0,66.49,311.2,112.5,251.48,284.33,115.2,90.67,2.5,106.87,0.41,48.17,51.26,46.27,12.26,29.68,55.0,0.0,39.1,41.2,8.5,34.98,16.8,94.0,0.6,37.6,40.75,46.7,23.95,13.24,11.8,74.0,73.5,84.9,0.3,13.84,0.22,0.21,2.9,1.97,3.07,0.0,0.26,0.17,0.29,3.95,4.2,4.24,0.0,0.17,0.64,1.58,12.75,12.76,13.79,0.07,1.1
2014/11/10,84.2,83.4,47.5,92.0,3958.0,15.0,4065.0,1780.0,1720.0,92.0,23.0,3615.0,450.0,66.85,312.06,112.72,251.92,285.82,115.54,90.28,2.5,107.73,0.41,48.44,51.57,46.81,12.25,29.0,55.0,0.0,38.05,41.15,8.2,34.65,16.8,94.0,0.6,37.6,40.75,46.7,23.95,14.43,11.8,74.0,74.5,85.9,0.3,14.03,0.23,0.21,2.9,1.97,3.07,0.0,0.27,0.12,0.29,3.95,4.2,4.24,0.0,0.12,0.67,1.58,12.75,12.8,13.83,0.07,1.09
2014/12/10,84.2,83.4,47.5,92.0,3958.0,15.0,4065.0,1780.0,1760.0,92.0,23.0,3655.0,410.0,66.58,312.81,112.77,251.87,286.07,116.22,89.87,2.5,107.73,0.41,48.44,51.57,47.9,11.16,29.0,55.0,0.0,38.05,41.15,8.0,34.85,16.53,94.0,0.6,37.6,40.75,46.0,24.38,14.43,11.8,74.0,74.5,85.9,0.3,14.03,0.23,0.21,2.9,1.97,3.07,0.0,0.27,0.12,0.29,3.95,4.2,4.24,0.0,0.12,0.67,1.58,12.75,12.8,13.83,0.07,1.09
2015/01/12,83.7,83.1,47.8,92.0,3969.0,15.0,4076.0,1780.0,1770.0,92.0,24.0,3666.0,410.0,66.16,314.37,112.99,252.53,286.25,116.49,90.78,2.5,108.01,0.41,48.44,51.6,48.17,11.16,29.0,55.0,0.0,38.05,41.15,8.0,34.85,16.53,95.5,0.55,37.6,40.75,46.0,25.83,14.43,11.8,74.0,74.5,85.9,0.3,14.03,0.23,0.21,2.9,1.97,3.07,0.0,0.27,0.12,0.29,3.95,4.2,4.24,0.0,0.12,0.22,1.72,12.75,13.6,14.28,0.06,0.34
2015/02/10,83.7,83.1,47.8,92.0,3969.0,25.0,4086.0,1795.0,1790.0,92.0,24.0,3701.0,385.0,66.25,315.06,113.66,254.52,288.53,117.18,89.26,2.5,108.01,0.68,48.85,52.0,48.72,10.48,29.0,56.0,0.0,39.18,42.28,8.0,34.72,16.53,94.5,0.55,37.6,40.75,46.0,24.83,14.43,12.35,74.0,74.5,86.2,0.35,14.23,0.23,0.21,2.9,1.97,3.07,0.0,0.27,0.12,0.29,3.95,4.2,4.24,0.0,0.12,0.22,1.72,12.75,13.6,14.28,0.06,0.34
