dates,Open,High,Low,Close,Volume,OpenInt,TotalOpenInt
2010-07-06,0.0,424.0,424.0,424.0,0.0,0.0,1103963.0
2010-07-07,0.0,431.5,431.5,431.5,0.0,0.0,1100697.0
2010-07-08,0.0,437.25,437.25,437.25,0.0,0.0,1100987.0
2010-07-09,0.0,436.25,436.25,436.25,0.0,0.0,1113690.0
2010-07-12,0.0,433.75,433.75,433.75,0.0,0.0,1121856.0
2010-07-13,0.0,432.5,432.5,432.5,0.0,0.0,1119447.0
2010-07-14,0.0,438.5,438.5,438.5,0.0,0.0,1118799.0
2010-07-15,0.0,446.0,446.0,446.0,0.0,0.0,1128987.0
2010-07-16,0.0,443.25,443.25,443.25,0.0,0.0,1163602.0
2010-07-19,0.0,438.75,438.75,438.75,0.0,0.0,1169797.0
2010-07-20,0.0,439.5,439.5,439.5,0.0,0.0,1173224.0
2010-07-21,0.0,442.25,442.25,442.25,0.0,0.0,1179328.0
2010-07-22,0.0,439.25,439.25,439.25,0.0,0.0,1187774.0
2010-07-23,0.0,436.0,436.0,436.0,0.0,0.0,1204077.0
2010-07-26,0.0,435.0,435.0,435.0,0.0,0.0,1203578.0
2010-07-27,0.0,434.0,434.0,434.0,0.0,0.0,1217250.0
2010-07-28,0.0,443.25,443.25,443.25,0.0,0.0,1218786.0
2010-07-29,0.0,447.0,447.0,447.0,0.0,0.0,1217546.0
2010-07-30,0.0,448.0,448.0,448.0,0.0,0.0,1215550.0
2010-08-02,0.0,443.75,443.75,443.75,0.0,0.0,1224623.0
2010-08-03,0.0,441.0,441.0,441.0,0.0,0.0,1246775.0
2010-08-04,0.0,448.0,448.0,448.0,0.0,0.0,1244110.0
2010-08-05,0.0,440.0,440.0,440.0,0.0,0.0,1261010.0
2010-08-06,0.0,446.0,446.0,446.0,0.0,0.0,1305004.0
2010-08-09,0.0,443.0,443.0,443.0,0.0,0.0,1303362.0
2010-08-10,0.0,435.5,435.5,435.5,0.0,0.0,1304889.0
2010-08-11,0.0,433.0,433.0,433.0,0.0,0.0,1296608.0
2010-08-12,0.0,437.75,437.75,437.75,0.0,0.0,1295383.0
2010-08-13,0.0,445.25,445.25,445.25,0.0,0.0,1325077.0
2010-08-16,0.0,440.0,440.0,440.0,0.0,0.0,1328667.0
2010-08-17,0.0,444.5,444.5,444.5,0.0,0.0,1331219.0
2010-08-18,0.0,442.75,442.75,442.75,0.0,0.0,1342763.0
2010-08-19,0.0,436.75,436.75,436.75,0.0,0.0,1357711.0
2010-08-20,0.0,447.25,447.25,447.25,0.0,0.0,1352534.0
2010-08-23,0.0,448.25,448.25,448.25,0.0,0.0,1369908.0
2010-08-24,0.0,441.5,441.5,441.5,0.0,0.0,1374411.0
2010-08-25,0.0,442.25,442.25,442.25,0.0,0.0,1347805.0
2010-08-26,444.5,446.75,444.5,446.75,0.0,0.0,1350656.0
2010-08-27,0.0,445.5,445.5,445.5,1.0,1.0,1370261.0
2010-08-30,0.0,449.75,449.75,449.75,0.0,1.0,1345050.0
2010-08-31,0.0,451.25,451.25,451.25,0.0,1.0,1346171.0
2010-09-01,0.0,454.75,454.75,454.75,0.0,1.0,1339412.0
2010-09-02,0.0,455.75,455.75,455.75,0.0,1.0,1342298.0
2010-09-03,0.0,462.5,462.5,462.5,0.0,1.0,1345903.0
2010-09-06,0.0,462.5,462.5,462.5,0.0,0.0,0.0
2010-09-07,0.0,455.25,455.25,455.25,0.0,1.0,1379988.0
2010-09-08,0.0,454.75,454.75,454.75,0.0,1.0,1381016.0
2010-09-09,0.0,463.25,463.25,463.25,0.0,1.0,1372643.0
2010-09-10,0.0,462.25,462.25,462.25,0.0,1.0,1375869.0
2010-09-13,0.0,459.0,459.0,459.0,0.0,1.0,1380633.0
2010-09-14,0.0,466.0,466.0,466.0,0.0,1.0,1361503.0
2010-09-15,0.0,470.0,470.0,470.0,0.0,1.0,1374552.0
2010-09-16,0.0,468.5,468.5,468.5,0.0,1.0,1379961.0
2010-09-17,0.0,469.75,469.75,469.75,0.0,1.0,1390229.0
2010-09-20,475.0,475.0,468.25,468.25,0.0,1.0,1412474.0
2010-09-21,0.0,468.75,468.75,468.75,1.0,2.0,1422858.0
2010-09-22,0.0,469.5,469.5,469.5,0.0,2.0,1441646.0
2010-09-23,0.0,464.75,464.75,464.75,0.0,2.0,1448009.0
2010-09-24,0.0,475.75,475.75,475.75,0.0,2.0,1452428.0
2010-09-27,473.0,473.0,467.25,467.25,0.0,2.0,1453270.0
2010-09-28,0.0,462.75,462.75,462.75,1.0,2.0,1452871.0
2010-09-29,0.0,474.0,474.0,474.0,0.0,2.0,1449581.0
2010-09-30,0.0,477.25,477.25,477.25,0.0,2.0,1452657.0
2010-10-01,0.0,467.75,467.75,467.75,0.0,2.0,1451414.0
2010-10-04,0.0,473.25,473.25,473.25,0.0,2.0,1447310.0
2010-10-05,0.0,479.0,479.0,479.0,0.0,2.0,1439438.0
2010-10-06,0.0,476.25,476.25,476.25,0.0,2.0,1439868.0
2010-10-07,0.0,483.0,483.0,483.0,0.0,2.0,1433142.0
2010-10-08,0.0,497.5,491.25,497.5,0.0,2.0,1431144.0
2010-10-11,0.0,495.5,495.5,495.5,0.0,2.0,1424619.0
2010-10-12,0.0,502.0,502.0,502.0,0.0,2.0,1459987.0
2010-10-13,502.0,502.0,499.25,499.25,0.0,2.0,1475534.0
2010-10-14,0.0,506.0,506.0,506.0,2.0,4.0,1475226.0
2010-10-15,505.0,505.0,500.0,500.0,0.0,4.0,1483836.0
2010-10-18,0.0,507.75,507.75,507.75,6.0,6.0,1502016.0
2010-10-19,0.0,504.25,504.25,504.25,0.0,6.0,1511885.0
2010-10-20,0.0,526.25,526.25,526.25,0.0,6.0,1530657.0
2010-10-21,0.0,522.25,522.25,522.25,0.0,6.0,1555364.0
2010-10-22,0.0,519.5,519.5,519.5,0.0,6.0,1565254.0
