dates,nearby_close
2008-02-04,510.5
2008-02-05,509.25
2008-02-06,501.5
2008-02-07,499.5
2008-02-08,508.0
2008-02-11,503.5
2008-02-12,497.75
2008-02-13,497.0
2008-02-14,511.0
2008-02-15,514.75
2008-02-18,514.75
2008-02-19,520.0
2008-02-20,523.5
2008-02-21,524.5
2008-02-22,522.25
2008-03-05,557.0
2008-03-06,557.0
2008-03-07,533.5
2008-03-10,555.5
2008-03-11,564.0
2008-03-12,556.75
2008-03-13,559.75
2008-03-14,545.5
2008-03-17,539.25
2008-03-18,547.25
2008-03-19,527.25
2008-03-20,507.5
2008-03-21,507.5
2008-03-24,524.75
2008-03-25,544.75
2008-03-26,552.25
2008-03-27,555.5
2008-03-28,560.5
2008-03-31,567.25
2008-04-01,584.0
2008-04-02,595.75
2008-04-03,600.0
2008-04-04,598.0
2008-04-07,590.0
2008-04-08,591.25
2008-04-09,605.0
2008-04-10,594.25
2008-04-11,584.25
2008-04-14,591.75
2008-04-15,606.0
2008-04-16,603.5
2008-04-17,603.5
2008-04-18,599.5
2008-04-21,580.25
2008-04-22,594.25
2008-04-23,587.75
2008-04-24,576.25
2008-04-25,577.25
2008-04-28,600.0
2008-04-29,591.25
2008-04-30,600.25
2008-05-01,605.5
2008-05-02,602.0
2008-05-05,582.0
2008-05-06,594.75
2008-05-07,601.5
2008-05-08,618.75
2008-05-09,618.5
2008-05-12,603.5
2008-05-13,597.5
2008-05-14,589.75
2008-05-15,599.0
2008-05-16,591.0
2008-05-19,586.75
2008-05-20,589.75
2008-05-21,607.25
2008-05-22,595.75
2008-05-23,599.75
2008-05-26,599.75
2008-05-27,598.0
2008-05-28,592.5
2008-05-29,582.25
2008-05-30,599.25
2008-06-02,615.75
2008-06-03,608.0
2008-06-04,614.5
2008-06-05,643.25
2008-06-06,650.75
2008-06-09,657.25
2008-06-10,673.25
2008-06-11,703.25
2008-06-12,709.0
2008-06-13,731.75
2008-06-16,732.5
2008-06-17,742.25
2008-06-18,746.25
2008-06-19,727.75
2008-06-20,721.25
2008-06-23,724.25
2008-06-24,712.5
2008-06-25,730.0
2008-06-26,753.75
2008-06-27,754.75
2008-06-30,724.75
2008-07-01,719.5
2008-07-02,748.75
2008-07-03,746.0
2008-07-04,746.0
2008-07-07,716.5
2008-07-08,692.75
2008-07-09,683.0
2008-07-10,675.25
2008-07-11,680.0
2008-07-14,657.0
2008-07-16,658.5
2008-07-17,631.25
2008-07-18,609.5
2008-07-21,589.25
2008-07-22,573.5
2008-07-23,571.5
2008-07-24,573.0
2008-07-25,577.25
2008-07-28,582.0
2008-07-29,594.0
2008-07-30,601.5
2008-07-31,587.5
2008-08-01,565.0
2008-08-04,535.5
2008-08-05,525.25
2008-08-06,508.0
2008-08-07,522.25
2008-08-08,498.5
2008-08-11,497.25
2008-08-12,509.0
2008-08-13,539.0
2008-08-14,557.75
2008-08-15,529.75
2008-08-18,553.0
2008-11-24,354.5
2008-11-25,353.5
2008-11-26,354.0
2008-11-28,349.5
2008-12-01,332.75
2008-12-03,332.0
2008-12-04,318.25
2008-12-05,293.5
2008-12-08,314.25
2008-12-09,312.25
2008-12-10,326.75
2008-12-11,338.0
2008-12-12,359.5
2008-12-15,375.25
2008-12-16,394.0
2008-12-17,389.5
2008-12-18,389.5
2008-12-19,380.75
2008-12-22,381.75
2008-12-23,394.75
2008-12-24,398.0
2008-12-26,412.25
2008-12-29,393.5
2008-12-30,396.25
2008-12-31,407.0
2009-01-02,412.25
2009-01-05,411.25
2009-01-06,427.5
2009-01-07,416.5
2009-01-08,406.75
2009-01-09,410.75
2009-01-12,380.75
2009-01-13,362.5
2009-01-14,366.5
2009-01-15,365.25
2009-01-16,391.0
2009-01-20,383.5
2009-01-21,390.25
2009-01-22,387.5
2009-01-23,390.5
2009-01-26,393.75
2009-01-27,377.5
2009-01-28,384.5
2009-01-29,381.75
2009-01-30,379.0
2009-02-02,370.5
2009-02-03,361.75
2009-02-04,358.25
2009-02-05,371.25
2009-02-06,377.25
2009-02-09,377.5
2009-02-10,376.75
2009-02-11,368.5
2009-02-12,366.25
2009-02-13,363.25
2009-02-16,363.25
2009-02-17,349.25
2009-02-18,349.25
2009-02-19,353.25
2009-02-20,350.25
2009-02-23,351.75
2009-02-24,354.25
2009-02-25,363.75
2009-02-26,362.0
2009-02-27,350.75
2009-03-02,343.5
2009-03-03,343.5
2009-03-04,355.25
2009-03-05,349.25
2009-03-06,352.75
2009-03-09,357.25
2009-03-10,366.75
2009-03-11,356.0
2009-03-12,376.75
2009-03-13,375.0
2009-03-16,391.5
2009-03-17,390.5
2009-03-18,388.25
2009-03-19,396.5
2009-03-20,396.5
2009-03-23,395.5
2009-03-24,393.75
2009-03-25,385.75
2009-03-26,390.75
2009-03-27,387.0
2009-03-30,386.25
2009-03-31,404.75
2009-04-01,396.0
2009-04-02,402.5
2009-04-03,404.5
2009-04-06,405.5
2009-04-07,396.25
2009-04-08,397.0
2009-04-09,390.25
2009-04-10,390.25
2009-04-13,387.5
2009-04-14,394.25
2009-04-15,384.5
2009-04-16,385.75
2009-04-17,376.25
2009-04-20,369.5
2009-04-21,374.0
2009-04-22,373.5
2009-04-23,381.0
2009-04-24,377.0
2009-04-27,372.25
2009-04-28,375.0
2009-04-29,393.0
2009-04-30,396.25
2009-05-01,406.25
2009-05-04,398.0
2009-05-05,398.5
2009-05-06,400.75
2009-05-07,404.75
2009-05-08,414.0
2009-05-11,413.5
2009-05-12,419.5
2009-05-13,419.5
2009-05-14,421.5
2009-05-15,417.25
2009-05-18,421.5
2009-05-19,425.75
2009-05-20,426.0
2009-05-21,424.0
2009-05-22,430.25
2009-05-25,430.25
2009-05-26,427.5
2009-05-27,426.0
2009-05-28,428.75
2009-05-29,436.25
2009-06-01,445.75
2009-06-02,449.5
2009-06-03,432.5
2009-06-04,448.5
2009-06-05,444.0
2009-06-08,435.0
